supplier_id,supplier_ticker,supplier_name,customer_id,customer_ticker,customer_name,sector,supplier_segment,customer_segment
a,A,Agilent Technologies,abbv,ABBV,AbbVie,medicin,Life science tools,Big pharma
a,A,Agilent Technologies,pfe,PFE,Pfizer,medicin,Life science tools,Big pharma
abbv,ABBV,AbbVie,cah,CAH,Cardinal Health,medicin,Big pharma,Distribution & pharmacy infrastructure
abbv,ABBV,AbbVie,cor,COR,Cencora,medicin,Big pharma,Distribution & pharmacy infrastructure
abbv,ABBV,AbbVie,mck,MCK,McKesson,medicin,Big pharma,Distribution & pharmacy infrastructure
abt,ABT,Abbott Laboratories,dgx,DGX,Quest Diagnostics,medicin,Diagnostics,Diagnostics
abt,ABT,Abbott Laboratories,lh,LH,Labcorp,medicin,Diagnostics,Diagnostics
adi,ADI,Analog Devices,anet,ANET,Arista Networks,ai,Chips & accelerators,Data centers
adi,ADI,Analog Devices,dell,DELL,Dell Technologies,ai,Chips & accelerators,Data centers
alab,ALAB,Astera Labs,amzn,AMZN,Amazon,ai,Data centers,Cloud platforms
alny,ALNY,Alnylam Pharmaceuticals,cor,COR,Cencora,medicin,Biotech & innovation,Distribution & pharmacy infrastructure
amat,AMAT,Applied Materials,intc,INTC,Intel,ai,Semiconductor equipment & IP,Chips & accelerators
amat,AMAT,Applied Materials,mu,MU,Micron,ai,Semiconductor equipment & IP,Chips & accelerators
amd,AMD,AMD,amzn,AMZN,Amazon,ai,Chips & accelerators,Cloud platforms
amd,AMD,AMD,dell,DELL,Dell Technologies,ai,Chips & accelerators,Data centers
amd,AMD,AMD,googl,GOOGL,Alphabet,ai,Chips & accelerators,Cloud platforms
amd,AMD,AMD,meta,META,Meta Platforms,ai,Chips & accelerators,AI software & productivity
amd,AMD,AMD,msft,MSFT,Microsoft,ai,Chips & accelerators,Cloud platforms
amd,AMD,AMD,orcl,ORCL,Oracle,ai,Chips & accelerators,Cloud platforms
amgn,AMGN,Amgen,cor,COR,Cencora,medicin,Biotech & innovation,Distribution & pharmacy infrastructure
amzn,AMZN,Amazon,crm,CRM,Salesforce,ai,Cloud platforms,AI software & productivity
amzn,AMZN,Amazon,ddog,DDOG,Datadog,ai,Cloud platforms,"Data, analytics & enterprise AI"
amzn,AMZN,Amazon,duol,DUOL,Duolingo,ai,Cloud platforms,AI software & productivity
amzn,AMZN,Amazon,intu,INTU,Intuit,ai,Cloud platforms,AI software & productivity
amzn,AMZN,Amazon,mdb,MDB,MongoDB,ai,Cloud platforms,"Data, analytics & enterprise AI"
amzn,AMZN,Amazon,pltr,PLTR,Palantir,ai,Cloud platforms,"Data, analytics & enterprise AI"
amzn,AMZN,Amazon,snow,SNOW,Snowflake,ai,Cloud platforms,"Data, analytics & enterprise AI"
amzn,AMZN,Amazon,wday,WDAY,Workday,ai,Cloud platforms,AI software & productivity
anet,ANET,Arista Networks,meta,META,Meta Platforms,ai,Data centers,AI software & productivity
anet,ANET,Arista Networks,msft,MSFT,Microsoft,ai,Data centers,Cloud platforms
aph,APH,Amphenol,nvda,NVDA,Nvidia,ai,Data centers,Chips & accelerators
arm,ARM,Arm Holdings,amzn,AMZN,Amazon,ai,Chips & accelerators,Cloud platforms
arm,ARM,Arm Holdings,googl,GOOGL,Alphabet,ai,Chips & accelerators,Cloud platforms
arm,ARM,Arm Holdings,meta,META,Meta Platforms,ai,Chips & accelerators,AI software & productivity
arm,ARM,Arm Holdings,msft,MSFT,Microsoft,ai,Chips & accelerators,Cloud platforms
arm,ARM,Arm Holdings,nvda,NVDA,Nvidia,ai,Chips & accelerators,Chips & accelerators
arm,ARM,Arm Holdings,qcom,QCOM,Qualcomm,ai,Chips & accelerators,Chips & accelerators
avgo,AVGO,Broadcom,amzn,AMZN,Amazon,ai,Chips & accelerators,Cloud platforms
avgo,AVGO,Broadcom,anet,ANET,Arista Networks,ai,Chips & accelerators,Data centers
avgo,AVGO,Broadcom,googl,GOOGL,Alphabet,ai,Chips & accelerators,Cloud platforms
avgo,AVGO,Broadcom,meta,META,Meta Platforms,ai,Chips & accelerators,AI software & productivity
avgo,AVGO,Broadcom,msft,MSFT,Microsoft,ai,Chips & accelerators,Cloud platforms
axp,AXP,American Express,coin,COIN,Coinbase,finans,Payment rails & networks,Brokers & fintech
axp,AXP,American Express,fi,FI,Fiserv,finans,Payment rails & networks,Payment rails & networks
